signal_date,entry_date,exit_date,entry,exit,hold_days,exit_reason,raw_ret%,net_ret%,mfe%,mae%,rule_id,code,score,name,industry
2025-07-14,2025-07-15,2025-09-03,49.4468,61.8085,37,止盈,25.0,24.85,25.717,-2.867,fixed_sl10_tp25_h40,000837,17.443,秦川机床,机床工具
2025-07-15,2025-07-16,2025-07-24,85.07,76.563,7,止损,-10.0,-10.15,0.874,-10.493,fixed_sl10_tp25_h40,002290,18.024,禾盛新材,家电零部件Ⅲ
2025-07-17,2025-07-18,2025-09-11,48.795,49.6284,40,到期,1.708,1.558,25.0,-7.28,fixed_sl10_tp25_h40,002929,19.446,润建股份,通信工程及服务
2025-07-21,2025-07-22,2025-09-15,11.995,11.5837,40,到期,-3.429,-3.579,2.721,-6.169,fixed_sl10_tp25_h40,600688,14.621,上海石化,炼油化工
2025-07-22,2025-07-23,2025-09-16,14.763,13.9739,40,到期,-5.345,-5.495,3.621,-8.448,fixed_sl10_tp25_h40,600279,21.552,重庆港,港口
2025-07-23,2025-07-24,2025-09-17,232.5825,230.3952,40,到期,-0.94,-1.09,15.125,-6.74,fixed_sl10_tp25_h40,002568,18.967,百润股份,其他酒类
2025-07-23,2025-07-24,2025-09-17,213.1928,231.7026,40,到期,8.682,8.532,14.729,-7.752,fixed_sl10_tp25_h40,000975,12.092,山金国际,黄金
2025-07-25,2025-07-28,2025-09-19,50.4622,50.0702,40,到期,-0.777,-0.927,20.194,-3.301,fixed_sl10_tp25_h40,002044,15.367,美年健康,医院
2025-07-25,2025-07-28,2025-09-17,166.0659,207.5824,38,止盈,25.0,24.85,27.614,-4.438,fixed_sl10_tp25_h40,603662,12.938,柯力传感,机械设备
2025-07-29,2025-07-30,2025-09-23,27.9753,25.1777,40,止损,-10.0,-10.15,17.226,-11.588,fixed_sl10_tp25_h40,002134,19.212,天津普林,印制电路板
2025-07-29,2025-07-30,2025-08-21,43.404,39.0636,17,止损,-10.0,-10.15,0.818,-10.424,fixed_sl10_tp25_h40,002989,19.364,中天精装,装修装饰Ⅲ
2025-07-29,2025-07-30,2025-09-23,11.2192,10.3562,40,到期,-7.692,-7.842,9.231,-9.077,fixed_sl10_tp25_h40,002291,15.326,遥望科技,营销代理
2025-07-30,2025-07-31,2025-09-24,21.8603,20.9797,40,到期,-4.028,-4.178,6.898,-7.503,fixed_sl10_tp25_h40,603619,19.538,中曼石油,油田服务
2025-08-04,2025-08-05,2025-09-29,29.6187,33.4763,40,到期,13.024,12.874,15.257,-7.24,fixed_sl10_tp25_h40,002785,22.21,万里石,其他建材Ⅲ
2025-08-05,2025-08-06,2025-09-15,225.1503,281.4379,29,止盈,25.0,24.85,37.383,-3.015,fixed_sl10_tp25_h40,001309,12.685,德明利,数字芯片设计
2025-08-06,2025-08-07,2025-08-28,137.578,171.9725,16,止盈,25.0,24.85,25.085,-1.802,fixed_sl10_tp25_h40,603360,14.98,百傲化学,农药
2025-08-06,2025-08-07,2025-09-04,83.6413,75.2771,21,止损,-10.0,-10.15,5.563,-11.489,fixed_sl10_tp25_h40,002992,16.881,宝明科技,LED
2025-08-06,2025-08-07,2025-09-12,61.2381,76.5476,27,止盈,25.0,24.85,25.125,-4.254,fixed_sl10_tp25_h40,002741,13.811,光华科技,电子化学品Ⅲ
2025-08-07,2025-08-08,2025-09-18,48.498,43.6482,30,止损,-10.0,-10.15,13.749,-10.88,fixed_sl10_tp25_h40,002383,14.98,合众思壮,军工电子Ⅲ
2025-08-07,2025-08-08,2025-09-29,26.5416,23.8874,37,止损,-10.0,-10.15,5.444,-10.029,fixed_sl10_tp25_h40,000859,19.492,国风新材,膜材料
