signal_date,entry_date,exit_date,entry,exit,hold_days,exit_reason,raw_ret%,net_ret%,mfe%,mae%,armed,code,soft,hard,name,industry
2025-07-11,2025-07-14,2025-07-14,30.0449,29.1436,1,止损,-3.0,-3.15,0.258,-4.499,False,603800,0.79,1.0,洪田股份,能源及重型设备
2025-07-11,2025-07-14,2025-07-23,150.5778,148.5682,8,到期,-1.335,-1.485,2.452,-2.142,False,002487,0.799,1.0,大金重工,风电零部件
2025-07-14,2025-07-15,2025-07-24,103.3322,108.2922,8,到期,4.8,4.65,8.571,-0.457,False,600105,0.721,1.0,永鼎股份,通信线缆及配套
2025-07-14,2025-07-15,2025-07-24,75.6619,75.2132,8,到期,-0.593,-0.743,3.003,-1.875,False,603267,0.72,0.87,鸿远电子,军工电子Ⅲ
2025-07-14,2025-07-15,2025-07-22,66.7756,64.7724,6,止损,-3.0,-3.15,1.792,-3.754,False,002609,0.801,1.0,捷顺科技,IT服务Ⅲ
2025-07-15,2025-07-16,2025-07-21,18.9595,21.8034,4,止盈,15.0,14.85,17.336,-0.979,False,000993,0.884,1.0,闽东电力,水力发电
2025-07-15,2025-07-16,2025-07-25,407.0597,423.004,8,到期,3.917,3.767,8.542,-0.472,False,600521,0.774,1.0,华海药业,化学制剂
2025-07-15,2025-07-16,2025-07-25,38.5829,42.4137,8,到期,9.929,9.779,13.106,-2.78,False,600343,0.801,1.0,航天动力,其他通用设备
2025-07-15,2025-07-16,2025-07-25,7.4035,7.3705,8,到期,-0.446,-0.596,5.201,-0.892,False,601956,0.799,1.0,东贝集团,家电零部件Ⅲ
2025-07-16,2025-07-17,2025-07-28,301.9932,317.8875,8,到期,5.263,5.113,12.507,-0.34,False,000426,0.794,0.87,兴业银锡,白银
2025-07-17,2025-07-18,2025-07-25,190.3861,184.6745,6,止损,-3.0,-3.15,3.774,-3.019,False,600880,0.775,0.87,博瑞传播,教育运营及其他
2025-07-17,2025-07-18,2025-07-29,28.2295,29.9224,8,到期,5.997,5.847,12.763,0.0,False,601020,0.775,0.87,华钰矿业,铅锌
2025-07-18,2025-07-21,2025-07-30,61.6677,61.9245,8,到期,0.416,0.266,4.581,-0.803,False,002947,0.797,1.0,恒铭达,消费电子零部件及组装
2025-07-22,2025-07-23,2025-07-29,192.2031,221.0335,5,止盈,15.0,14.85,17.44,-1.369,False,002317,0.724,0.87,众生药业,中药Ⅲ
2025-07-22,2025-07-23,2025-08-01,410.3374,459.3033,8,到期,11.933,11.783,13.216,-0.209,False,603444,0.775,0.87,吉比特,游戏Ⅲ
2025-07-23,2025-07-24,2025-08-04,18.7203,18.825,8,到期,0.559,0.409,7.937,-2.851,False,601177,0.793,0.87,杭齿前进,金属制品
2025-07-23,2025-07-24,2025-08-04,44.7159,47.7622,8,到期,6.812,6.662,9.875,-0.5,False,002527,0.801,0.87,新时达,楼宇设备
2025-07-23,2025-07-24,2025-07-30,48.8427,56.1691,5,止盈,15.0,14.85,16.062,-0.283,False,002965,0.781,0.87,祥鑫科技,其他汽车零部件
2025-07-24,2025-07-25,2025-07-30,27.0604,26.2486,4,止损,-3.0,-3.15,1.573,-4.079,False,603166,0.91,1.0,福达股份,底盘与发动机系统
2025-07-28,2025-07-29,2025-07-30,55.7797,54.1063,2,止损,-3.0,-3.15,1.654,-3.195,False,001301,0.801,0.87,尚太科技,电池化学品
2025-07-29,2025-07-30,2025-08-08,68.4374,68.0237,8,到期,-0.604,-0.754,4.491,-2.979,False,000158,0.801,0.87,常山北明,IT服务Ⅲ
2025-07-29,2025-07-30,2025-08-08,9.8264,9.7896,8,到期,-0.374,-0.524,1.495,-2.804,False,000059,0.807,1.0,华锦股份,炼油化工
2025-07-29,2025-07-30,2025-08-08,15.455,17.7733,8,止盈,15.0,14.85,15.351,-2.924,False,000533,0.781,0.87,顺钠股份,输变电设备
2025-07-30,2025-07-31,2025-08-11,33.1306,35.9452,8,到期,8.495,8.345,9.598,-2.918,False,600523,0.8,1.0,贵航股份,其他汽车零部件
2025-07-30,2025-07-31,2025-07-31,27.517,26.6915,1,止损,-3.0,-3.15,0.0,-3.365,False,600425,0.781,0.87,青松建化,水泥制造
2025-07-30,2025-07-31,2025-08-11,88.0319,101.2367,8,止盈,15.0,14.85,18.839,-2.975,False,600246,0.801,1.0,万通发展,住宅开发
2025-07-30,2025-07-31,2025-08-05,173.7533,199.8163,4,止盈,15.0,14.85,20.408,-2.334,False,002779,0.799,0.87,中坚科技,其他专用设备
2025-07-30,2025-07-31,2025-08-04,15.2382,14.7811,3,止损,-3.0,-3.15,0.658,-3.125,False,000822,0.794,1.0,山东海化,纯碱
2025-07-30,2025-07-31,2025-08-11,215.801,240.5957,8,到期,11.49,11.34,12.558,0.0,False,001309,0.801,1.0,德明利,数字芯片设计
2025-07-30,2025-07-31,2025-08-11,163.3543,173.8933,8,到期,6.452,6.302,9.908,-0.173,False,000887,0.781,0.87,中鼎股份,其他汽车零部件
2025-07-30,2025-07-31,2025-08-11,31.2541,34.9943,8,到期,11.967,11.817,13.205,-1.1,False,603336,0.781,0.87,宏辉果蔬,其他种植业
2025-07-31,2025-08-01,2025-08-12,34.2914,34.2914,8,到期,0.0,-0.15,1.935,-1.268,False,002727,0.781,1.0,一心堂,线下药店
2025-07-31,2025-08-01,2025-08-12,26.3606,26.8613,8,到期,1.899,1.749,9.449,-1.899,False,002134,0.784,1.0,天津普林,印制电路板
2025-07-31,2025-08-01,2025-08-12,110.8459,115.6584,8,到期,4.342,4.192,11.397,-0.571,False,002756,0.786,0.87,永兴材料,锂
2025-07-31,2025-08-01,2025-08-12,119.4847,127.3492,8,到期,6.582,6.432,8.327,-0.397,False,600188,0.797,1.0,兖矿能源,动力煤
2025-07-31,2025-08-01,2025-08-12,29.9584,30.3034,8,到期,1.152,1.002,1.99,-1.675,False,002761,0.781,0.87,浙江建投,房屋建设Ⅲ
2025-07-31,2025-08-01,2025-08-08,244.6207,281.3138,6,止盈,15.0,14.85,17.083,-2.747,False,603129,0.797,1.0,春风动力,摩托车
2025-07-31,2025-08-01,2025-08-04,117.8859,114.3493,2,止损,-3.0,-3.15,0.525,-3.684,False,603296,0.781,1.0,华勤技术,消费电子零部件及组装
2025-07-31,2025-08-01,2025-08-12,97.463,99.7029,8,到期,2.298,2.148,6.512,-1.477,False,603678,0.781,1.0,火炬电子,军工电子Ⅲ
2025-07-31,2025-08-01,2025-08-07,24.5477,23.8112,5,止损,-3.0,-3.15,1.459,-3.079,False,601636,0.81,1.0,旗滨集团,玻璃制造
2025-07-31,2025-08-01,2025-08-08,112.2011,108.8351,6,止损,-3.0,-3.15,0.333,-4.475,False,603383,0.79,1.0,顶点软件,垂直应用软件
2025-07-31,2025-08-01,2025-08-01,54.0765,52.4542,1,止损,-3.0,-3.15,0.893,-3.368,False,002624,0.79,1.0,完美世界,游戏Ⅲ
2025-08-01,2025-08-04,2025-08-08,66.7479,76.76,5,止盈,15.0,14.85,16.286,-0.905,False,002664,0.799,1.0,信质集团,汽车电子电气系统
2025-08-01,2025-08-04,2025-08-13,241.034,277.1891,8,止盈,15.0,14.85,18.932,-0.443,False,002335,0.796,1.0,科华数据,其他电源设备Ⅲ
2025-08-01,2025-08-04,2025-08-13,45.2505,47.1048,8,到期,4.098,3.948,6.797,-0.05,False,605088,0.775,1.0,冠盛股份,底盘与发动机系统
2025-08-04,2025-08-05,2025-08-08,94.1619,91.3371,4,止损,-3.0,-3.15,0.0,-3.207,False,603688,0.8,1.0,石英股份,非金属材料Ⅲ
2025-08-04,2025-08-05,2025-08-14,3.7844,3.8254,8,到期,1.084,0.934,6.504,0.0,False,600936,0.797,0.87,北投科技,IT服务Ⅲ
2025-08-05,2025-08-06,2025-08-07,86.3215,83.7319,2,止损,-3.0,-3.15,1.418,-5.146,False,002913,0.81,1.0,奥士康,印制电路板
2025-08-06,2025-08-07,2025-08-18,55.9519,57.0466,8,到期,1.957,1.807,1.957,-1.848,False,600551,0.775,1.0,时代出版,大众出版
2025-08-06,2025-08-07,2025-08-18,5.6512,6.4989,8,止盈,15.0,14.85,20.08,-1.606,False,601162,0.775,0.87,天风证券,证券Ⅲ
2025-08-06,2025-08-07,2025-08-18,103.3577,109.9375,8,到期,6.366,6.216,8.355,-2.255,False,600682,0.781,1.0,南京新百,综合Ⅲ
2025-08-07,2025-08-08,2025-08-19,25.7296,25.6752,8,到期,-0.211,-0.361,10.148,-2.96,False,600212,0.816,1.0,绿能慧充,其他电源设备Ⅲ
2025-08-07,2025-08-08,2025-08-19,74.9125,77.7682,8,到期,3.812,3.662,6.906,-1.713,False,603456,0.781,1.0,九洲药业,医疗研发外包
2025-08-07,2025-08-08,2025-08-18,13.3412,12.9409,7,止损,-3.0,-3.15,8.794,-3.735,False,001267,0.79,0.87,汇绿生态,通信网络设备及器件
2025-08-07,2025-08-08,2025-08-14,43.3469,42.0465,5,止损,-3.0,-3.15,1.179,-3.507,False,605133,0.784,1.0,嵘泰股份,底盘与发动机系统
2025-08-08,2025-08-11,2025-08-20,115.2149,123.8742,8,到期,7.516,7.366,9.177,-0.923,False,603583,0.801,0.87,捷昌驱动,工控设备
2025-08-08,2025-08-11,2025-08-19,165.3897,190.1981,7,止盈,15.0,14.85,16.692,-0.925,False,600835,0.784,1.0,上海机电,楼宇设备
2025-08-08,2025-08-11,2025-08-14,50.424,48.9112,4,止损,-3.0,-3.15,1.971,-7.07,False,600416,0.801,1.0,湘电股份,电机Ⅲ
2025-08-08,2025-08-11,2025-08-20,165.1763,173.1846,8,到期,4.848,4.698,7.145,-1.205,False,002847,0.906,1.0,盐津铺子,零食
2025-08-08,2025-08-11,2025-08-15,218.9313,212.3634,5,止损,-3.0,-3.15,1.649,-3.467,False,600562,0.906,1.0,国睿科技,军工电子Ⅲ
2025-08-08,2025-08-11,2025-08-20,47.5971,47.6809,8,到期,0.176,0.026,2.465,-2.817,False,002697,0.775,1.0,红旗连锁,超市
2025-08-11,2025-08-12,2025-08-20,19.8183,19.2237,7,止损,-3.0,-3.15,1.03,-3.09,False,601069,0.775,0.87,西部黄金,黄金
2025-08-12,2025-08-13,2025-08-20,69.7951,80.2644,6,止盈,15.0,14.85,15.365,-2.007,False,605488,0.791,1.0,福莱新材,膜材料
2025-08-12,2025-08-13,2025-08-15,57.3659,65.9708,3,止盈,15.0,14.85,15.774,-1.375,False,002965,0.724,1.0,祥鑫科技,其他汽车零部件
2025-08-12,2025-08-13,2025-08-22,90.1904,90.5539,8,到期,0.403,0.253,3.628,-2.326,False,603666,0.781,0.87,亿嘉和,机器人
2025-08-12,2025-08-13,2025-08-15,164.1263,159.2025,3,止损,-3.0,-3.15,0.657,-3.285,False,600644,0.781,0.87,乐山电力,电能综合服务
2025-08-12,2025-08-13,2025-08-20,27.6491,26.8196,6,止损,-3.0,-3.15,0.875,-3.098,False,002462,0.801,1.0,嘉事堂,医药流通
2025-08-12,2025-08-13,2025-08-22,31.7593,31.7378,8,到期,-0.068,-0.218,6.237,-2.644,False,600178,0.801,1.0,东安动力,底盘与发动机系统
2025-08-12,2025-08-13,2025-08-14,298.7265,289.7647,2,止损,-3.0,-3.15,1.001,-3.147,False,600764,0.808,1.0,中国海防,航海装备Ⅲ
2025-08-13,2025-08-14,2025-08-14,115.2346,111.7776,1,止损,-3.0,-3.15,0.653,-3.185,False,002192,0.797,0.87,融捷股份,锂
2025-08-14,2025-08-15,2025-08-26,22.315,23.0329,8,到期,3.217,3.067,11.162,0.0,False,002403,0.891,1.0,爱仕达,厨房小家电
